Curso,2009,2010,2011,2012,2013,Univ
Educação,1177668,980736,950163,942992,937753,PRIV
Artes e Design,190208,156223,177653,198026,208565,PRIV
Humanidades,81365,37561,41240,41318,41397,PRIV
Ciências Sociais,410326,339503,376188,416438,467086,PRIV
Comunicações,190821,201592,192040,173600,139101,PRIV
Negócios,3286540,2387774,2567785,2685804,2704224,PRIV
Direito,1955361,1559874,1661669,1705902,1767403,PRIV
Ciências da Vida,150858,97360,116990,127678,137331,PRIV
Ciências Físicas,39765,17846,19343,19959,18932,PRIV
Matemática,7102,1380,1448,1475,1660,PRIV
Ciências da Computação,592897,431891,432058,436074,431565,PRIV
Engenharia,625038,541335,674065,777228,869679,PRIV
Ciências dos Materiais,69310,51709,52086,54716,52439,PRIV
Arquitetura,261802,275165,413304,581550,767243,PRIV
Agricultura,31061,38441,42763,49179,58450,PRIV
Ciências Animal,24578,40462,47436,55663,68581,PRIV
Ciências da Saúde,1377660,1225766,1336093,1374514,1441917,PRIV
Trabalho Social,142785,148036,121160,130512,143590,PRIV
Gestão Hoteleira,175700,145420,160374,174145,184224,PRIV
Transporte,14140,10412,12360,14433,16271,PRIV
Estudos Ambientais,41138,29353,29602,26789,23513,PRIV
Segurança Pública,11248,9140,11450,12872,14892,PRIV
Educação,692430,774863,858239,911298,1017628,PUB
Artes e Design,31773,36981,40273,41382,44754,PUB
Humanidades,99313,53421,56270,58061,64149,PUB
Ciências Sociais,112288,108153,118276,126993,133280,PUB
Comunicações,37797,46474,48537,49476,52268,PUB
Negócios,320353,239690,265133,289471,308689,PUB
Direito,173400,144045,149156,157193,164358,PUB
Ciências da Vida,38637,30690,34924,37781,39935,PUB
Ciências Físicas,70101,69555,88283,95823,109029,PUB
Matemática,26181,14789,17449,18850,20226,PUB
Ciências da Computação,93864,93581,108218,120388,129998,PUB
Engenharia,127087,200081,239883,263390,288966,PUB
Ciências dos Materiais,18169,26722,30925,33869,35975,PUB
Arquitetura,41235,70039,76931,85586,93494,PUB
Agricultura,30743,95622,103953,111201,116458,PUB
Ciências Animal,3106,21296,22521,23819,25889,PUB
Ciências da Saúde,64185,190659,200562,212605,228303,PUB
Trabalho Social,27587,27764,30592,33085,36608,PUB
Gestão Hoteleira,27394,24238,25655,28337,30097,PUB
Transporte,1276,619,1189,1422,2066,PUB
Estudos Ambientais,10409,10894,12146,13372,13425,PUB
Segurança Pública,684,776,1313,1279,1212,PUB
